Category,Sub Category,Ward Name
Health Dept,Increase in mosquito density,Kempegowda Ward
Forest,Issues related Snakes/Birds/Monkeys,Marappana Palya
Health Dept,Air/Noise pollution,Dayananda Nagar
Solid Waste (Garbage) Related,Garbage transfer not as per norms & area not kept clean,Madiwala
Storm  Water Drain(SWD),Sewerage water left in SWD,Newthippasandra
Storm  Water Drain(SWD),Maintenance of SWD,Kodigehalli
Lakes,Lake not maintained properly,Bilekahalli
Revenue Department,Khata Services (Registration, Transfer, Bifurcation and Amalgamation),Devasandra
Solid Waste (Garbage) Related,Burning of Garbage in Open Space,Marappana Palya
Property Tax services,Property tax owner name not updated,Uttarahalli
Revenue Department,Khata Services (Registration, Transfer, Bifurcation and Amalgamation),Subedarapalya
E khata / Khata services,Khata / Ekhata mutation / transfer,Bilekahalli
Revenue Department,Khata Services (Registration, Transfer, Bifurcation and Amalgamation),H.M.T
Revenue Department,Others (JC),Vignana Nagar
Forest,Issues related Snakes/Birds/Monkeys,Shanthala Nagar
Road Maintenance(Engg),footpath encroachment,Yelachenahalli
Health Dept,Spraying,Ejipura
Property Tax services,unable to generate property tax challan,Mathikere
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Sri Nagar
Storm  Water Drain(SWD),Maintenance of SWD,Singasandra
Road Infrastructure,Road Infrastructure,Shiva Nagar
Revenue Department,Others (JC),Jalahalli
Road Maintenance(Engg),Road cutting,Bagalagunte
veterinary,Fatally injured - Needs immediate attention,Agaram
E khata / Khata services,Ekhata Area Correction,HSR Layout
veterinary,Fatally injured - Needs immediate attention,Vannarpet
E khata / Khata services,Ekhata - name correction,Dattathreya Temple
Health Dept,Dengue positive,Kacharakanahalli
E khata / Khata services,Ekhata Area Correction,Chokkasandra
veterinary,Animal Rescue - Not well - Requires attention,Hegganahalli
veterinary,Animal Rescue - Not well - Requires attention,Gayathri Nagar
Electrical,Open Electrical Junction Box,Shiva Nagar
Revenue Department,Khata Services (Registration, Transfer, Bifurcation and Amalgamation),Chokkasandra
Solid Waste (Garbage) Related,Burning of Garbage in Open Space,J.P.Nagar
E khata / Khata services,Ekhata - name correction,Konanakunte
Health Dept,Fogging,Konena Agrahara
E khata / Khata services,ekhata approval pending with ARO,Hoysala Nagar
Road Maintenance(Engg),footpath encroachment,Konena Agrahara
Revenue Department,Discrepancy In Khata Certificate and Khata Extract,Nagapura
Parks and Play grounds,Issues Related to Parks/Medians/Circles/Island.,Binnipet
E khata / Khata services,Ekhata missing in online,Shakambari Nagar
Parks and Play grounds,Gym/Children Play equipment in the parks,Sarakki
Sanitation,Public toilet(s) blockage,Jnanabharathi Ward
veterinary,Stray cattle related complaints,Nagarabhavi
E khata / Khata services,Ekhata Area Correction,Gottigere
Revenue Department,Discrepancy In Khata Certificate and Khata Extract,Rajarajeshwari Nagar
Solid Waste (Garbage) Related,Sweeping not done,Jayamahal
Advertisement,Flex and banners,HAL Airport
E khata / Khata services,Ekhata missing in online,A.Narayanapura
Town Planning,Noise during Building Construction,Singasandra
Electrical,Street Lights Switched On During Day Time,Hoysala Nagar
ಸಹಾಯಕ ಕಂದಾಯ ಅದಿಕಾರಿ ಕೆಂಗೇರಿ ಉಪ ವಿಭಾಗಕ್ಕೆ ಬೇಟಿ ನೀಡಿ ಇ-ಖಾತಾ ಪಡೆಯಲು ಮತ್ತು ಸಂಬಂಧಪಟ್ಟ ಮಾಹಿತಿ ಪಡೆಯಲು ಈ ಮೂಲಕ ತಿಳಿಸಲಾಗಿದೆ,Lokamatha /RO,,
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Shettyhalli
veterinary,Street dogs attacking-pet Dogs,Byatarayanapura
Sanitation,Urination in Public/Open Defecation,Deepanjali Nagar
Forest,Removal of dead/fallen trees,Basavanapura
Parks and Play grounds,Environmental protection,Bilekahalli
Traffic Engineer Cell (TEC),TEC,Marathalli
Solid Waste (Garbage) Related,Complaint against SW collector/ SWM official for violation of SWM Rules,Ganeshmandira Ward
Revenue Department,Unable to Generate the receipt after property tax payment.,Jagajeevanram Nagar
Others,Others,Jaraganahalli
Parks and Play grounds,Gym/Children Play equipment in the parks,Sagayapuram
Health Dept,Increase in mosquito density,Vijanapura
Road Maintenance(Engg),Road cutting,Jayachamarajendra Nagar
Road Maintenance(Engg),water stagnation,Agaram
Revenue Department,Unable to generate the property tax challan,Benniganahalli
veterinary,Animal Rescue - Not well - Requires attention,Shakambari Nagar
Solid Waste (Garbage) Related,Complaint against SW collector/ SWM official for violation of SWM Rules,Banashankari Temple Ward
veterinary,Fatally injured - Needs immediate attention,Ganeshmandira Ward
Health Dept,Fogging,Mathikere
Health Dept,Increase in mosquito density,Madiwala
Revenue Department,Discrepancy In Khata Certificate and Khata Extract,Dodda Bidarkallu
Solid Waste (Garbage) Related,Burning of Garbage in Open Space,BTM Layout
Health Dept,Increase in mosquito density,A.Narayanapura
Town Planning,UnAuthorised Building Constructions,Kengeri
E khata / Khata services,Ekhata in previous owner name,Arakere
E khata / Khata services,ekhata approval pending with ARO,C.V.Raman Nagar
Property Tax services,unable to generate property tax challan,Hagadooru
Property Tax services,Property tax refund / adjustment,Hagadooru
Property Tax services,Property tax owner name not updated,Horamavu
Electrical,Requirement For New Street Lights,HAL Airport
E khata / Khata services,Ekhata - name correction,J.P.Nagar
E khata / Khata services,new Khata / Ekhata registration / creation,Garudacharpalya
Road Maintenance(Engg),Footpath,Chalavadipalya
E khata / Khata services,Ekhata - name correction,Manorayanapalya
E khata / Khata services,ekhata approval pending with ARO,Sri Rammandira
Revenue Department,Discrepancy In Khata Certificate and Khata Extract,Herohalli
E khata / Khata services,Khata / Ekhata mutation / transfer,Arakere
Health Dept,Dengue positive,Jaraganahalli
E khata / Khata services,Ekhata - name correction,Puttenahalli
Solid Waste (Garbage) Related,Burning of Garbage in Open Space,Kaveripura
E khata / Khata services,Ekhata missing in online,Shanthi Nagar
E khata / Khata services,Technical Issue In Ekhata,Cottonpet
Property Tax services,Unable to generate receipt after property tax payment,Radhakrishna Temple
Water Crisis,Water related issue,Vannarpet
Health Dept,Zonal Violation of the Building,Bellandur
Road Maintenance(Engg),water stagnation,Kumaraswamy Layout
Revenue Department,Unable to Generate the receipt after property tax payment.,HBR Layout
veterinary,Anti Rabies Vaccination of stray dogs,Attiguppe
Indira Canteen,Food Quality,J.P.Park
Road Maintenance(Engg),Road cutting,Kempegowda Ward
Storm  Water Drain(SWD),Garbage thrown in storm water drain,Garudacharpalya
Projects Central,Road furnitures,Kempegowda Ward
Health Dept,Increase in mosquito density,Gangenahalli
Revenue Department,Unable to generate the property tax challan,Vignana Nagar
Road Maintenance(Engg),Footpath,Padarayanapura
Call Center,Call center Issues,Rajarajeshwari Nagar
Road Maintenance(Engg),Debris Removal / Construction Material,Agrahara Dasarahalli
Storm  Water Drain(SWD),Sewerage water left in SWD,C.V.Raman Nagar
Solid Waste (Garbage) Related,Garbage nuisance while transporting,K.R.Puram
E khata / Khata services,Ekhata missing in online,Bilekahalli
veterinary,Stray dog related complaints,Hosahalli
Road Maintenance(Engg),UnAuthorised Constructions,Shakambari Nagar
Revenue Department,Khata Services (Registration, Transfer, Bifurcation and Amalgamation),Kacharakanahalli
Revenue Department,Unable to Generate the receipt after property tax payment.,Uttarahalli
Solid Waste (Garbage) Related,Dead animal(s),Banashankari Temple Ward
Road Maintenance(Engg),Debris Removal / Construction Material,Neelasandra
Revenue Department,Unable to generate the property tax challan,Kuvempu Nagar
Sanitation,Public toilet(s) blockage,Shanthala Nagar
veterinary,Animal birth control/neutering of stray dogs,Hongasandra
veterinary,Illegal pet shop / Animal cruelty / license check,Bharathi Nagar
veterinary,Dog, cat Poor conditions / Breeding license validation,Basavanapura
E khata / Khata services,Ekhata Other corrections,Banashankari Temple Ward
Solid Waste (Garbage) Related,Complaint against SW collector/ SWM official for violation of SWM Rules,Mallasandra
Solid Waste (Garbage) Related,Garbage nuisance while transporting,A.Narayanapura
E khata / Khata services,Ekhata - name correction,Benniganahalli
Sanitation,Public toilet(s) blockage,Kavalbyrasandra
veterinary,Animal birth control/neutering of stray dogs,Gandhi Nagar
Property Tax services,Property tax owner name not updated,Banaswadi
Lakes,Dumping of garbage into lake,Hoodi
Solid Waste (Garbage) Related,Public dustbins not cleaned,Padmanabha Nagar
Electrical,Earthing Issue relate to Electric Poles/Panel Boards,Varthur
Forest,obstructions Branches / Trees.,Chowdeshwari Ward
E khata / Khata services,Khata / Ekhata mutation / transfer,K.R.Puram
veterinary,Fatally injured - Needs immediate attention,Varthur
Solid Waste (Garbage) Related,Complaint against SW collector/ SWM official for violation of SWM Rules,Kamakshipalya
Road Maintenance(Engg),water leakage on road,Benniganahalli
Road Maintenance(Engg),Debris Removal / Construction Material,Shiva Nagar
Forest,Removal of dead/fallen trees,Nagavara
Health Dept,Air/Noise pollution,Subramanya Nagar
Others,Others,Mallasandra
Health Dept,Fogging,Sarakki
Electrical,Requirement For New Street Lights,Subhash Nagar
Health Dept,Fogging,Agaram
Revenue Department,Khata Services (Registration, Transfer, Bifurcation and Amalgamation),Hampi Nagar
Electrical,Park Lights Not Working,Kacharakanahalli
Road Maintenance(Engg),Road side drains,Ulsoor
Electrical,Open Electrical Junction Box,Puttenahalli
Road Infrastructure,Road Infrastructure,Jaraganahalli
Road Maintenance(Engg),Footpath,Vidyapeetha
Others,Others,Basaveshwara Nagar
Road Maintenance(Engg),Road side drains,Maruthi Seva Nagar
Road Maintenance(Engg),Footpath,Rajagopala Nagar
Property Tax services,Other property tax issues,Vidyapeetha
Road Maintenance(Engg),Road cutting,Herohalli
Solid Waste (Garbage) Related,Complaint against SW collector/ SWM official for violation of SWM Rules,Shakambari Nagar
Solid Waste (Garbage) Related,Burning of Garbage in Open Space,Puttenahalli
E khata / Khata services,Other Khata / ekhata issues,Pulikeshi Nagar
Health Dept,Birth & Death Registration,Dharmarayaswamy Temple Ward
Hence i am applying for new e Khata. This has been pending with ARO office as it says in Endorsement which i have received.,,
Health Dept,Dengue positive,Basaveshwara Nagar
Solid Waste (Garbage) Related,Complaint against SW collector/ SWM official for violation of SWM Rules,Subedarapalya
E khata / Khata services,eKhata - name Mismatch,Vasanthapura
E khata / Khata services,new Khata / Ekhata registration / creation,Ramamurthy Nagar
veterinary,Stray dog related complaints,Lakkasandra
Indira Canteen,Food Quality,Gangenahalli
veterinary,Feeder Harassment by Association / Gated Community,Rajarajeshwari Nagar
E khata / Khata services,Khata / Ekhata mutation / transfer,Marathalli
Road Maintenance(Engg),Road cutting,Kushal Nagar
Electrical,Requirement For New Street Lights,Varthur
veterinary,Anti Rabies Vaccination of stray dogs,Marenahalli
Parks and Play grounds,Issues Related to Parks/Medians/Circles/Island.,Shiva Nagar
veterinary,Dog, cat Poor conditions / Breeding license validation,Banaswadi
Property Tax services,Issues in property tax portal,Vidyaranyapura
E khata / Khata services,Technical Issue In Ekhata,Kottigepalya
Revenue Department,Khata Services (Registration, Transfer, Bifurcation and Amalgamation),Jogupalya
E khata / Khata services,Khata / Ekhata mutation / transfer,Sarakki
Storm  Water Drain(SWD),Maintenance of SWD,Kempegowda Ward
E khata / Khata services,Other Khata / ekhata issues,Chamrajpet
E khata / Khata services,new Khata / Ekhata registration / creation,Devarajeevanahalli
E khata / Khata services,Ekhata Other corrections,Vignana Nagar
Solid Waste (Garbage) Related,Burning of Garbage in Open Space,HBR Layout
Road Maintenance(Engg),UnAuthorised Constructions,Rajaji Nagar
Solid Waste (Garbage) Related,Public dustbins not cleaned,Chikpete
Road Maintenance(Engg),water leakage on road,Chikpete
Revenue Department,Khata Services (Registration, Transfer, Bifurcation and Amalgamation),Shanthala Nagar
Road Maintenance(Engg),Debris Removal / Construction Material,Azad Nagar
veterinary,Animal birth control/neutering of stray dogs,Jayachamarajendra Nagar
Road Maintenance(Engg),Road cutting,Shiva Nagar
Advertisement,Unsafe Hoardings,Domlur
Electrical,Street Lights Switched On During Day Time,Padmanabha Nagar
Health Dept,Spraying,Hegganahalli
Lakes,Dumping of garbage into lake,Yelahanka old Satellite Town
Storm  Water Drain(SWD),Garbage thrown in storm water drain,Nagavara
Indira Canteen,Staff Related,Vijanapura
Electrical,Earthing Issue relate to Electric Poles/Panel Boards,Bommanahalli
veterinary,Animal Rescue - Not well - Requires attention,Kengeri
Health Dept,Spraying,S.K.Garden
veterinary,Dog, cat Poor conditions / Breeding license validation,Bellandur
Health Dept,Increase in mosquito density,Gurappanapalya
Property Tax services,Property tax owner name not updated,Rajarajeshwari Nagar
Solid Waste (Garbage) Related,Burning of Garbage in Open Space,A.Narayanapura
Electrical,Earthing Issue relate to Electric Poles/Panel Boards,Herohalli
veterinary,Stray/Rabid dog bite,Shankaramata
E khata / Khata services,Technical Issue In Ekhata,BTM Layout
veterinary,Animal Rescue - Not well - Requires attention,Karisandra
Health Dept,Birth & Death Registration,Newthippasandra
Road Maintenance(Engg),Road cutting,Byrasandra
Lakes,Dumping of garbage into lake,Bellandur
Advertisement,Unsafe Hoardings,Hampi Nagar
veterinary,Pet dog licence,Sagayapuram
veterinary,"Pet licensing / Pet shop licensing  / Breeder licensing ",Chikpete
Water Crisis,Water related issue,Someshwara
veterinary,Anti Rabies Vaccination of stray dogs,Azad Nagar
Revenue Department,Discrepancy In Khata Certificate and Khata Extract,Kavalbyrasandra
veterinary,Animal birth control/neutering of stray dogs,Gurappanapalya
Health Dept,Spraying,Vrushabhavati Nagar
Solid Waste (Garbage) Related,Sweeping not done,J.P.Nagar
veterinary,Stray/Rabid dog bite,Chikkalasandra
Solid Waste (Garbage) Related,Dead animal(s),Chalavadipalya
Electrical,Park Lights Not Working,Hebbal
Electrical,Park Lights Not Working,Subramanya Nagar
Solid Waste (Garbage) Related,Garbage transfer not as per norms & area not kept clean,Varthur
Optical Fiber Cables (OFC),Without permission digging of road,Vasanthapura
veterinary,Mutton/Chicken/fish stall Unhygienic maintenance,Vasanthapura
Advertisement,Unsafe Hoardings,Nagarabhavi
Solid Waste (Garbage) Related,Burning of Garbage in Open Space,K.R.Puram
Solid Waste (Garbage) Related,Garbage transfer not as per norms & area not kept clean,T-Dasarahalli
Electrical,Open Electrical Junction Box,Rajarajeshwari Nagar
Health Dept,Increase in mosquito density,Sarvagna Nagar
veterinary,Animal birth control/neutering of stray dogs,Hampi Nagar
Traffic Engineer Cell (TEC),TEC,Hoodi
Health Dept,Non availability of drugs,Sampangiram Nagar
veterinary,Street dogs attacking-pet Dogs,Jnanabharathi Ward
dated 19-Apr-25,concerning severe potholes on the street at 1st Cross,Near Malibu Rosita Varthur
